bdf5f667-9a6f-483e-a91f-40b8f0ceec95,U2,439.68,Uber,travel,London, UK,2026-02-27T01:07:47
2ca4d916-bf27-4f6b-a6ed-fbda31940c12,U3,313.73,Nike,shopping,"Tokyo, JP",2026-02-27T01:22:23
c0d9592f-c700-4ee6-93be-f8a7fd179c0e,U3,127.93,Big Basket,groceries,"Los Angeles, CA",2026-02-27T01:22:28
013b4252-e630-47d4-b02b-b90445f6635c,U1,369.96,MakeMyTrip,travel,"London, UK",2026-02-27T01:22:33
d9643094-8819-4ce4-86b6-9ad040441c73,U3,47.29,Amazon,shopping,"Paris, FR",2026-02-27T01:22:38
c2291586-e3de-4900-87c3-caf625acf3c7,U3,399.56,PVR Cinemas,entertainment,"London, UK",2026-02-27T01:22:43
bd0e3501-7ce5-4582-b6cd-e0e4dc05384e,U2,385.46,MakeMyTrip,travel,"Los Angeles, CA",2026-02-27T01:22:48
7e92ef19-bc71-42c1-9b28-c2b10709fa70,U2,465.59,MakeMyTrip,travel,"New York, NY",2026-02-27T01:22:53
1b436472-1192-4491-ba5b-99f8880c8b88,U2,148.73,Amazon,shopping,"Los Angeles, CA",2026-02-27T01:22:58
3214aa11-785a-48ef-b007-94e9966bbe44,U2,212.52,PVR Cinemas,entertainment,"London, UK",2026-02-27T01:23:03
7ea3a3cb-5859-494b-a84c-728771ff5576,U1,363.46,Amazon,shopping,"Los Angeles, CA",2026-02-27T01:23:08
e5fa6e97-d4bd-4915-8efc-8ac6fe1c01ba,U2,349.15,MakeMyTrip,travel,"London, UK",2026-02-27T01:23:13
e7c44c84-5d41-4631-8a05-0a47b44a697e,U1,467.16,Airtel,utilities,"London, UK",2026-02-27T01:23:18
0de35ef2-e83a-4d2b-8882-b864762afd63,U2,304.36,Big Basket,groceries,"Tokyo, JP",2026-02-27T01:23:23
a58bdb91-677c-4888-afce-ecffdd17bab1,U3,281.88,Netflix,entertainment,"New York, NY",2026-02-27T01:23:28
b6c5216f-79b9-4fb7-8bc7-5b1183b065c1,U1,56.93,Electricity Board,utilities,"New York, NY",2026-02-27T01:23:33
9885a3e2-adad-442c-8df1-0fa3738d6061,U2,90.54,Binance,crypto,"Tokyo, JP",2026-02-27T01:23:38
e20d47a3-6c78-4200-9226-24831f620365,U1,174.2,Airtel,utilities,"New York, NY",2026-02-27T01:23:43
66256233-cf10-494e-ac18-3784d5634b1b,U2,78.91,Big Basket,groceries,"Paris, FR",2026-02-27T01:23:48
f3e46b41-3d73-4424-a8d5-8b94bb42727c,U2,3815.04,PVR Cinemas,entertainment,"New York, NY",2026-02-27T01:23:53
157e718b-65da-49e1-a10a-c78464fd011c,U2,60.2,Uber,travel,"Paris, FR",2026-02-27T01:24:25
58a9c39e-0966-4e28-a938-643e4fb608a7,U2,182.29,Airtel,utilities,"New York, NY",2026-02-27T01:33:42
7a14522c-6e8d-49c5-94dd-fbd91d4da46c,U2,148.69,MakeMyTrip,travel,"Tokyo, JP",2026-02-27T01:33:47
72f68b49-e32e-41ad-bc52-ac37d37308e7,U2,364.77,Uber,travel,"New York, NY",2026-02-27T01:33:52
1443ba8c-6447-47fd-a8de-3ada0b2a370e,U1,110.56,MakeMyTrip,travel,"London, UK",2026-02-27T01:33:57
a3278039-1bcd-4ba8-a9ce-e489e70b7799,U2,248.38,Amazon,shopping,"Tokyo, JP",2026-02-27T01:34:02
1d19ecc8-5428-4046-91eb-61ca8b4b47d1,U1,488.88,MakeMyTrip,travel,"Paris, FR",2026-02-27T01:34:07
7bba431f-3e14-4180-8050-31c3d5d290ff,U2,289.88,Binance,crypto,"Paris, FR",2026-02-27T01:34:12
50c3fdcd-d79b-43b6-8130-f1b627b128d8,U3,476.78,Uber,travel,"Tokyo, JP",2026-02-27T01:34:17
344f6592-3488-4faf-9c2a-e5c76bca2fab,U3,200.85,Uber,travel,"Los Angeles, CA",2026-02-27T01:34:22
0845c33f-a753-4a04-93d2-0ca327b798b3,U1,4176.06,Nike,shopping,"New York, NY",2026-02-27T01:34:27
2dc9f659-e247-4ff2-b0dc-3cd80389f9f8,U3,382.12,Nike,shopping,"New York, NY",2026-02-27T01:34:32
04cc1a31-9b15-48e7-9240-5cad4f9d10ca,U2,63.12,PVR Cinemas,entertainment,"London, UK",2026-02-27T01:34:37
6c2ab04e-f4e5-4e58-ab8d-3e327a9f8f22,U2,4870.78,Electricity Board,utilities,"Los Angeles, CA",2026-02-27T01:34:42
99887d02-a6d9-475b-8e84-db30d05bdae0,U3,51.98,Uber,travel,"Los Angeles, CA",2026-02-27T01:34:47
2e5cb3b2-905c-4b85-aca2-9895fed793d6,U3,131.64,Electricity Board,utilities,"Los Angeles, CA",2026-02-27T01:34:52
71f6c719-f574-4294-b5ca-dc1fcb6176fb,U3,126.07,Amazon,shopping,"New York, NY",2026-02-27T01:34:57
c2c66c00-95f3-4963-99d8-dcb00bcf8c2e,U1,441.34,Electricity Board,utilities,"Los Angeles, CA",2026-02-27T01:35:02
b868b470-432c-4b0d-be12-94aad3f1384d,U2,425.82,Amazon,shopping,"New York, NY",2026-02-27T01:35:07
7574b009-2f0a-432b-821e-e55d898009e7,U3,400.77,Nike,shopping,"New York, NY",2026-02-27T01:35:12
f31cd54c-d549-4ecb-a32f-848931cdd8b0,U2,88.42,Electricity Board,utilities,"New York, NY",2026-02-27T01:35:17
fb264cd5-a70d-4c61-8149-ef4823e6151d,U1,129.43,Nike,shopping,"London, UK",2026-02-27T01:35:22
cfc5f2bd-68cd-40e8-865a-3e39b213ac8d,U2,260.77,Netflix,entertainment,"London, UK",2026-02-27T01:35:27
